Measure Servo Y
0,-0.54
1,-0.35
2,-0.60
3,-0.82
4,-1.73
5,-1.88
6,-2.15
7,-2.66
8,-2.90
9,-3.30
10,-3.94
11,-4.51
12,-5.05
13,-5.95
14,-6.45
15,-6.83
16,-7.25
17,-7.54
18,-7.47
19,-7.73
20,-7.98
19,-8.47
18,-8.22
17,-8.34
16,-8.22
15,-8.11
14,-7.71
13,-7.47
12,-6.80
11,-6.86
10,-6.78
9,-6.14
8,-5.72
7,-5.15
6,-4.53
5,-3.99
4,-3.62
3,-3.32
2,-3.02
1,-2.22
0,-2.10
-1,-1.74
-2,-1.11
-3,-0.88
-4,-0.57
-5,-0.34
-6,-0.26
-7,0.35
-8,1.21
-9,1.44
-10,1.67
-11,2.28
-12,2.38
-13,2.79
-14,3.02
-15,3.26
-16,3.87
-17,4.37
-18,4.72
-19,4.88
-20,5.24
-19,5.22
-18,5.00
-17,4.87
-16,4.66
-15,4.44
-14,4.28
-13,4.02
-12,3.69
-11,3.20
-10,2.89
-9,2.73
-8,2.35
-7,2.09
-6,1.82
-5,1.36
-4,1.18
-3,0.70
-2,0.66
-1,0.52
0,0.35
