Measure Servo X
0,0.22
1,0.29
2,0.41
3,1.28
4,1.69
5,1.79
6,2.12
7,2.48
8,2.92
9,3.39
10,3.75
11,4.38
12,4.40
13,4.70
14,5.33
15,5.44
14,5.74
13,5.67
12,5.77
11,5.27
10,5.10
9,4.56
8,4.07
7,3.53
6,3.12
5,2.82
4,2.48
3,1.88
2,1.47
1,0.98
0,0.52
-1,0.09
-2,-0.56
-3,-1.02
-4,-1.31
-5,-1.83
-6,-2.38
-7,-3.06
-8,-3.52
-9,-4.09
-10,-4.73
-11,-5.39
-12,-5.91
-13,-6.51
-14,-7.75
-15,-8.45
-14,-8.29
-13,-7.55
-12,-6.95
-11,-6.21
-10,-5.74
-9,-5.47
-8,-4.85
-7,-4.30
-6,-3.55
-5,-2.96
-4,-2.66
-3,-2.09
-2,-1.78
-1,-1.16
0,-0.76
