Measure Servo Y
15,6.46
14,6.42
13,6.31
12,5.52
11,5.44
10,5.29
9,5.09
8,4.44
7,3.83
6,3.28
5,2.82
4,2.49
3,2.17
2,1.64
1,0.88
0,0.77
-1,0.19
-2,-0.22
-3,-0.80
-4,-1.05
-5,-1.41
-6,-1.61
-7,-1.81
-8,-2.56
-9,-2.94
-10,-3.42
-11,-3.71
-12,-4.00
-13,-4.25
-14,-4.50
-15,-4.86
-15,-4.86
-14,-4.78
-13,-4.87
-12,-4.60
-11,-4.28
-10,-3.96
-9,-3.80
-8,-3.32
-7,-3.28
-6,-3.07
-5,-2.75
-4,-2.30
-3,-2.00
-2,-1.78
-1,-1.44
0,-1.28
1,-0.90
2,-0.79
3,-0.83
4,0.25
5,0.43
6,0.74
7,1.15
8,1.63
9,1.83
10,2.25
11,2.79
12,3.21
13,4.38
14,4.69
15,5.15
