Measure Servo Y
15,6.40
14,6.56
13,6.40
12,5.32
11,5.39
10,5.43
9,4.86
8,4.65
7,3.67
6,3.36
5,2.87
4,2.20
3,2.15
2,1.90
1,0.96
0,0.78
-1,0.23
-2,-0.17
-3,-0.59
-4,-1.01
-5,-1.24
-6,-1.44
-7,-1.89
-8,-2.57
-9,-2.71
-10,-3.28
-11,-3.57
-12,-3.80
-13,-4.10
-14,-4.39
-15,-4.75
-15,-4.75
-14,-4.89
-13,-4.78
-12,-4.47
-11,-4.32
-10,-3.80
-9,-3.63
-8,-3.52
-7,-3.23
-6,-3.12
-5,-2.53
-4,-2.37
-3,-2.00
-2,-1.72
-1,-1.50
0,-1.22
1,-1.13
2,-0.88
3,-0.65
4,0.17
5,0.50
6,0.84
7,1.24
8,1.48
9,1.96
10,2.43
11,2.93
12,3.28
13,4.42
14,4.93
15,5.15
