Measure Servo Y
0,0.07
1,0.03
2,-0.21
3,-0.34
4,-1.26
5,-1.63
6,-1.98
7,-2.43
8,-2.75
9,-3.17
10,-3.74
11,-4.26
12,-4.69
13,-5.57
14,-6.50
15,-6.83
14,-6.78
13,-6.64
12,-5.98
11,-5.67
10,-5.62
9,-5.33
8,-4.81
7,-4.39
6,-3.92
5,-3.43
4,-3.09
3,-2.95
2,-2.67
1,-2.14
0,-1.76
-1,-1.44
-2,-0.90
-3,-0.55
-4,-0.08
-5,0.17
-6,0.21
-7,0.66
-8,1.34
-9,1.59
-10,2.17
-11,2.24
-12,2.64
-13,2.75
-14,3.17
-15,3.57
-14,3.58
-13,3.59
-12,3.25
-11,3.08
-10,2.54
-9,2.40
-8,2.07
-7,1.95
-6,1.92
-5,1.49
-4,1.00
-3,0.61
-2,0.51
-1,0.38
0,0.23
